"reference","slug","order","module_reference","unit_reference","part","concept_categories","title","topics","description","tutorials","Todo","directory","permalink"
"javascript-asynchrone","javascript-asynchrone","1","sas","sas-rappel-javascript-algorithme","rappel-javascript-algorithme","","JavaScript Asynchrone","","","[lab-nodejs-introduction-au-javascript-asynchrone]","","sas/rappel-javascript-algorithme","sas/javascript-asynchrone"
"créer-une-application-console-avec-nodejs","créer-une-application-console-avec-nodejs","2","sas","sas-rappel-javascript-algorithme","rappel-javascript-algorithme","","Créer une application console avec Node.js","","Créer une application console avec Node.js","","","sas/rappel-javascript-algorithme","sas/créer-une-application-console-avec-nodejs"
"lire-et-enregistrer-un-tableau-javascript-dans-un-fichier-json","lire-et-enregistrer-un-tableau-javascript-dans-un-fichier-json","3","sas","sas-rappel-javascript-algorithme","rappel-javascript-algorithme","","Lire et enregistrer un tableau JavaScript dans un fichier JSON","","","","","sas/rappel-javascript-algorithme","sas/lire-et-enregistrer-un-tableau-javascript-dans-un-fichier-json"
"algorithmes-de-base","algorithmes-de-base","4","sas","sas-rappel-javascript-algorithme","rappel-javascript-algorithme","","Algorithmes de Base à Maîtriser pour Débuter en Programmation","","","","","sas/rappel-javascript-algorithme","sas/algorithmes-de-base"
"algorithmes-essentiels-en-javascript","algorithmes-essentiels-en-javascript","5","sas","sas-rappel-javascript-algorithme","rappel-javascript-algorithme","","Les Algorithmes Essentiels en JavaScript","","","","","sas/rappel-javascript-algorithme","sas/algorithmes-essentiels-en-javascript"
"concepts-de-base-de-la-poo","concepts-de-base-de-la-poo","6","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Concepts de base de la POO","","Comprendre les concepts de base de la POO avec PHP : Un guide pratique","","","sas/maîtrisez-poo-php","sas/concepts-de-base-de-la-poo"
"encapsulation","encapsulation","7","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Encapsulation","","Protéger les données internes d'une classe en PHP : L'encapsulation","","","sas/maîtrisez-poo-php","sas/encapsulation"
"héritage","héritage","8","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Héritage","","L'héritage en PHP : Créer des classes filles","","","sas/maîtrisez-poo-php","sas/héritage"
"polymorphisme","polymorphisme","9","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Polymorphisme","","Le polymorphisme en PHP : Vers un code plus flexible","","","sas/maîtrisez-poo-php","sas/polymorphisme"
"relations-entre-objets","relations-entre-objets","10","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Relations entre objets 
","","Les relations entre objets en PHP : un guide complet avec exemples
","","","sas/maîtrisez-poo-php","sas/relations-entre-objets"
"application-console-en-php","application-console-en-php","11","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Application console en PHP ","","Création d'une application console en PHP ","","","sas/maîtrisez-poo-php","sas/application-console-en-php"
"sérialisation-php","sérialisation-php","12","sas","sas-maîtrisez-poo-php","maîtrisez-poo-php","","Sérialisation PHP ","","Sérialisation et Désérialisation d'Objets PHP en JSON avec Gestion de Fichier","","","sas/maîtrisez-poo-php","sas/sérialisation-php"