"reference","slug","unit_reference","module_reference","nature","title","description","skill_level_reference","image","published","order","directory"
"introduction","introduction","","","","Introduction","","","","TRUE","1",""
"rappel-javascript-algorithme","rappel-javascript-algorithme","sas-rappel-javascript-algorithme","sas","","Rappel Javascript et Algorithme","","","","TRUE","3","sas"
"maîtrisez-poo-php","maîtrisez-poo-php","sas-maîtrisez-poo-php","sas","","Maîtrisez la POO en PHP !



","","","","TRUE","4","sas"
"application-bibliothèque","application-bibliothèque","back-end-application-bibliothèque","back-end","","Application de bibliothèque ","","","","TRUE","5","back-end"
"lancement-projets-fils-rouges","lancement-projets-fils-rouges","pff-lancement-projets-fils-rouges","pff","","Lancement des projets fils rouges ","","","","TRUE","6","pff"
"bienvenue-kotlin-android","bienvenue-kotlin-android","mobile-bienvenue-kotlin-android","mobile","","Bienvenue dans le monde de Kotlin et d'Android ! ","","","","TRUE","7","mobile"
"fondamentaux-kotlin","fondamentaux-kotlin","mobile-fondamentaux-kotlin","mobile","","Maîtrise des fondamentaux de Kotlin et d'Android !","","","","TRUE","8","mobile"
"univers-laravel","univers-laravel","back-end-univers-laravel","back-end","","Bienvenue dans l'univers de Laravel ","","","","TRUE","10","back-end"
"maîtrise-eloquent","maîtrise-eloquent","back-end-maîtrise-eloquent","back-end","","Maîtrise d'Eloquent ORM ","","","","TRUE","11","back-end"
"analyse-conception","analyse-conception","ux-ui-analyse-conception","ux-ui","","Analyse et conception","","","","TRUE","12","ux-ui"
"concepts-avancés-kotlin","concepts-avancés-kotlin","mobile-concepts-avancés-kotlin","mobile","","Maîtrise des concepts avancés de Kotlin ","","","","TRUE","13","mobile"
"applications-android-époustouflantes","applications-android-époustouflantes","mobile-applications-android-époustouflantes","mobile","","Créer des applications Android époustouflantes ","","","","TRUE","14","mobile"
"formulaires-et-sessions-projet-final","formulaires-et-sessions-projet-final","back-end-routage-contrôleurs-laravel","back-end",""," Maîtrise du routage et des contrôleurs Laravel ","","","","TRUE","15","back-end"
"eloquent-avancé","eloquent-avancé","db-eloquent-avancé","db","","Maîtrise d'Eloquent ORM avancé ","","","","TRUE","17","db"
"conception-projet-file-rouge","conception-projet-file-rouge","pff-conception-projet-file-rouge","pff","","Conception - Projet file rouge ","","","","TRUE","18","pff"
"navigation-adaptation-jetpack-compose","navigation-adaptation-jetpack-compose","mobile-navigation-adaptation-jetpack-compose","mobile",""," Maîtrise de la navigation et de l'adaptation dans Jetpack Compose ","","","","TRUE","19","mobile"
"récupération-données-en-ligne","récupération-données-en-ligne","mobile-récupération-données-en-ligne","mobile","","Maîtrise de la récupération de données en ligne ","","","","TRUE","20","mobile"
"validation-sécurité","validation-sécurité","back-end-validation-sécurité","back-end",""," Maîtrise de la validation et de la sécurité ","","","","TRUE","21","back-end"
"boutique-en-ligne","boutique-en-ligne","back-end-boutique-en-ligne","back-end","","Création d'une boutique en ligne fonctionnelle ","","","","TRUE","22","back-end"
"développement-backend","développement-backend","pff-développement-backend","pff","","Développement du Backend","","","","TRUE","23","pff"
"stockage-mysql-projet-final","stockage-mysql-projet-final","mobile-sql-room","mobile","","Maîtrise de SQL et de Room ","","","","TRUE","24","mobile"
"datastore","datastore","mobile-datastore","mobile","","Maîtrise de DataStore ","","","","TRUE","26","mobile"
"tests-unitaires","tests-unitaires","back-end-tests-unitaires","back-end","","Maîtrise des tests unitaires ","","","","TRUE","27","back-end"
"validation-laravel-mix","validation-laravel-mix","back-end-validation-laravel-mix","back-end","","Validation personnalisée et de Laravel Mix","","","","TRUE","28","back-end"
"développement-frontend","développement-frontend","pff-développement-frontend","pff","","Développement du Frontend","","","","TRUE","29","pff"
"laravel-passport","laravel-passport","back-end-laravel-passport","back-end","","Maîtrise de Laravel Passport et de l'OAuth2 ","","","","TRUE","30","back-end"
"déploiement-production","déploiement-production","back-end-déploiement-production","back-end","","Déploiement réussi en production ","","","","TRUE","31","back-end"
"intégration-tests","intégration-tests","pff-intégration-tests","pff","","Intégration et Tests","","","","TRUE","32","pff"